"ID" "Attrition Prediction"
2 "No"
20 "No"
21 "No"
24 "No"
35 "No"
44 "No"
47 "No"
50 "No"
53 "No"
61 "No"
62 "Yes"
64 "No"
75 "No"
95 "No"
99 "Yes"
103 "No"
108 "No"
111 "Yes"
119 "No"
126 "No"
131 "No"
133 "No"
134 "No"
136 "No"
142 "No"
146 "No"
148 "No"
165 "No"
169 "No"
185 "No"
194 "No"
209 "No"
210 "No"
213 "No"
223 "No"
231 "No"
233 "No"
239 "No"
244 "No"
247 "No"
253 "No"
254 "No"
255 "No"
261 "Yes"
262 "No"
269 "No"
277 "No"
298 "No"
304 "No"
307 "No"
309 "No"
316 "No"
317 "No"
323 "No"
326 "No"
350 "No"
357 "No"
377 "No"
384 "No"
385 "No"
386 "No"
401 "No"
402 "No"
409 "No"
410 "No"
415 "No"
419 "Yes"
421 "No"
425 "No"
431 "No"
436 "No"
438 "No"
444 "No"
450 "No"
452 "No"
454 "No"
457 "No"
458 "No"
462 "No"
465 "No"
469 "No"
475 "No"
476 "No"
484 "No"
487 "No"
491 "No"
492 "Yes"
500 "No"
513 "No"
518 "No"
527 "No"
529 "No"
531 "No"
532 "No"
539 "No"
540 "No"
548 "No"
551 "No"
565 "No"
567 "No"
575 "No"
584 "No"
591 "No"
595 "No"
598 "No"
600 "No"
601 "No"
606 "No"
610 "Yes"
612 "No"
613 "No"
617 "No"
620 "No"
627 "No"
639 "No"
644 "No"
662 "No"
669 "No"
671 "No"
675 "No"
698 "No"
706 "No"
709 "No"
724 "No"
726 "No"
727 "No"
732 "No"
733 "No"
739 "No"
747 "No"
748 "No"
750 "No"
754 "No"
758 "No"
760 "No"
762 "No"
766 "No"
777 "No"
780 "No"
785 "No"
791 "No"
798 "No"
809 "No"
816 "No"
825 "No"
829 "No"
833 "No"
834 "No"
846 "No"
854 "No"
857 "No"
868 "No"
870 "No"
873 "No"
876 "No"
877 "No"
878 "No"
885 "No"
886 "No"
889 "No"
893 "No"
898 "No"
901 "No"
904 "No"
912 "No"
913 "No"
916 "No"
921 "No"
923 "No"
931 "No"
932 "No"
935 "No"
938 "No"
941 "No"
944 "No"
948 "No"
954 "No"
960 "No"
963 "No"
964 "No"
966 "No"
972 "No"
977 "No"
987 "No"
997 "No"
999 "No"
1008 "No"
1012 "No"
1013 "No"
1014 "No"
1018 "Yes"
1021 "No"
1023 "No"
1027 "No"
1031 "No"
1034 "No"
1039 "No"
1055 "No"
1058 "No"
1059 "No"
1060 "No"
1061 "No"
1067 "No"
1068 "No"
1073 "No"
1074 "No"
1081 "No"
1083 "No"
1084 "No"
1090 "No"
1095 "No"
1097 "No"
1099 "No"
1106 "No"
1107 "No"
1109 "No"
1115 "No"
1118 "No"
1119 "No"
1120 "No"
1124 "No"
1127 "No"
1129 "Yes"
1130 "No"
1132 "No"
1138 "No"
1139 "No"
1142 "No"
1148 "No"
1151 "No"
1153 "No"
1155 "No"
1165 "No"
