"ID" "Attrition Prediction"
4 "No"
11 "No"
22 "No"
27 "No"
29 "No"
32 "No"
43 "No"
44 "No"
47 "No"
63 "No"
78 "No"
81 "No"
86 "No"
96 "No"
98 "No"
102 "No"
112 "No"
117 "No"
120 "No"
121 "No"
123 "No"
132 "No"
137 "No"
138 "No"
139 "No"
145 "Yes"
150 "No"
153 "No"
159 "No"
160 "No"
163 "No"
164 "No"
165 "No"
176 "No"
179 "No"
181 "No"
184 "No"
186 "No"
187 "No"
192 "No"
193 "No"
194 "No"
198 "No"
207 "No"
211 "No"
214 "No"
217 "No"
221 "No"
227 "No"
231 "No"
232 "No"
234 "No"
238 "No"
244 "No"
264 "No"
272 "No"
278 "No"
281 "No"
284 "No"
286 "No"
289 "No"
291 "No"
299 "No"
301 "Yes"
302 "No"
304 "No"
327 "No"
330 "No"
333 "No"
336 "No"
341 "No"
343 "No"
348 "No"
349 "No"
351 "No"
356 "No"
363 "No"
369 "No"
373 "Yes"
374 "No"
376 "No"
377 "No"
378 "No"
380 "No"
392 "No"
394 "No"
395 "No"
401 "No"
405 "Yes"
411 "No"
416 "No"
417 "No"
420 "No"
421 "No"
423 "No"
428 "No"
432 "No"
434 "No"
442 "No"
450 "No"
453 "No"
456 "No"
463 "No"
480 "No"
485 "No"
494 "No"
499 "No"
504 "No"
512 "No"
516 "No"
518 "No"
520 "No"
526 "No"
544 "No"
546 "No"
547 "No"
554 "No"
558 "No"
566 "No"
569 "No"
573 "No"
575 "No"
576 "No"
578 "No"
586 "No"
593 "Yes"
599 "No"
602 "No"
606 "No"
611 "No"
612 "No"
614 "No"
627 "No"
640 "No"
643 "No"
653 "No"
659 "No"
662 "No"
667 "Yes"
675 "No"
676 "No"
677 "No"
682 "No"
683 "No"
686 "No"
695 "No"
709 "No"
722 "No"
729 "No"
732 "No"
735 "No"
739 "No"
740 "No"
745 "No"
755 "No"
763 "No"
771 "No"
777 "No"
778 "No"
787 "No"
790 "Yes"
791 "No"
794 "No"
802 "No"
803 "No"
809 "No"
812 "No"
815 "No"
838 "No"
839 "Yes"
841 "No"
844 "No"
847 "No"
859 "No"
863 "No"
872 "No"
875 "No"
878 "No"
882 "No"
888 "No"
889 "No"
896 "No"
914 "No"
919 "No"
927 "No"
936 "No"
944 "No"
950 "No"
952 "No"
956 "No"
965 "No"
969 "No"
970 "Yes"
973 "No"
976 "No"
978 "No"
979 "No"
981 "No"
982 "No"
983 "No"
994 "No"
996 "No"
1003 "No"
1004 "No"
1007 "No"
1008 "No"
1010 "No"
1011 "No"
1015 "No"
1017 "No"
1036 "No"
1038 "No"
1039 "No"
1043 "No"
1056 "No"
1063 "No"
1065 "No"
1073 "No"
1082 "No"
1089 "No"
1093 "No"
1102 "No"
1119 "No"
1121 "Yes"
1125 "No"
1126 "No"
1136 "No"
1137 "Yes"
1139 "No"
1143 "No"
1150 "No"
1160 "No"
1168 "No"
